sectionEng,questionNum,questionTextEng,languageEng,sectionEsp,questionTextEsp,languageEsp
Language use,8a,"In an average week, what percentage of the time do you use the following languages with family?",English,Uso de lenguas,"En una semana normal, ¿qué porcentaje del tiempo usa las siguientes lenguas con su familia?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",inglés
Language use,8b,"In an average week, what percentage of the time do you use the following languages with family?",Spanish,Uso de lenguas,"En una semana normal, ¿qué porcentaje del tiempo usa las siguientes lenguas con su familia?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",español
Language use,8c,"In an average week, what percentage of the time do you use the following languages with family?",Other languages,Uso de lenguas,"En una semana normal, ¿qué porcentaje del tiempo usa las siguientes lenguas con su familia?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",otras lenguas
Language use,9a,"In an average week, what percentage of the time do you use the following languages at school/work?",English,Uso de lenguas,"En una semana normal, ¿qué porcentaje del tiempo usa las siguientes lenguas en la escuela/el trabajo?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",inglés
Language use,9b,"In an average week, what percentage of the time do you use the following languages at school/work?",Spanish,Uso de lenguas,"En una semana normal, ¿qué porcentaje del tiempo usa las siguientes lenguas en la escuela/el trabajo?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",español
Language use,9c,"In an average week, what percentage of the time do you use the following languages at school/work?",Other languages,Uso de lenguas,"En una semana normal, ¿qué porcentaje del tiempo usa las siguientes lenguas en la escuela/el trabajo?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",otras lenguas
Language use,10a,"When you talk to yourself, how often do you talk to yourself in the following languages?",English,Uso de lenguas,"Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en las siguientes lenguas?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",
Language use,10b,"When you talk to yourself, how often do you talk to yourself in the following languages?",Spanish,Uso de lenguas,"Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en las siguientes lenguas?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",español
Language use,10c,"When you talk to yourself, how often do you talk to yourself in the following languages?",Other languages,Uso de lenguas,"Cuando se habla a usted mismo, ¿con qué frecuencia se habla a sí mismo en las siguientes lenguas?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",otras lenguas
Language use,11a,"When you count, how often do you count in the following languages?",English,Uso de lenguas,"Cuando hace cálculos contando, ¿con qué frecuencia cuenta en las siguientes lenguas?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",inglés
Language use,11b,"When you count, how often do you count in the following languages?",Spanish,Uso de lenguas,"Cuando hace cálculos contando, ¿con qué frecuencia cuenta en las siguientes lenguas?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",español
Language use,11c,"When you count, how often do you count in the following languages?",Other languages,Uso de lenguas,"Cuando hace cálculos contando, ¿con qué frecuencia cuenta en las siguientes lenguas?
El  total sumando las respuestas del uso de ESPAÑOL, INGLÉS y OTRAS LENGUAS debe llegar al 100%.",otras lenguas
Language proficiency,12a,How well do you speak,English,Competencia lingüística,¿Cómo habla en las siguientes lenguas?,inglés
Language proficiency,12b,How well do you speak,Spanish,Competencia lingüística,¿Cómo habla en las siguientes lenguas?,español
Language proficiency,13a,How well do you understand,English,Competencia lingüística,¿Cómo entiende en las siguientes lenguas?,inglés
Language proficiency,13b,How well do you understand,Spanish,Competencia lingüística,¿Cómo entiende en las siguientes lenguas?,español
Language proficiency,14a,How well do you read,English,Competencia lingüística,¿Cómo lee en las siguientes lenguas?,inglés
Language proficiency,14b,How well do you read,Spanish,Competencia lingüística,¿Cómo lee en las siguientes lenguas?,español
Language proficiency,15a,How well do you write,English,Competencia lingüística,¿Cómo escribe en las siguientes lenguas?,inglés
Language proficiency,15b,How well do you write,Spanish,Competencia lingüística,¿Cómo escribe en las siguientes lenguas?,español
Language attitudes,16a,I feel like myself when I speak English.,English,Actitudes lingüísticas,"Me siento ""yo mismo"" cuando hablo en las siguientes lenguas.",inglés
Language attitudes,16b,I feel like myself when I speak Spanish.,Spanish,Actitudes lingüísticas,"Me siento ""yo mismo"" cuando hablo en las siguientes lenguas.",español
Language attitudes,17a,I identify with an English-speaking culture.,English,Actitudes lingüísticas,Yo me identifico con las siguientes culturas.,inglés
Language attitudes,17b,I identify with an Spanish-speaking culture.,Spanish,Actitudes lingüísticas,Yo me identifico con las siguientes culturas.,español
Language attitudes,18a,It is important to me to use (or eventually use) English like a native speaker.,English,Actitudes lingüísticas,Es importante para mí usar (o llegar a usar) las siguientes lenguas como un hablante nativo.,inglés
Language attitudes,18b,It is important to me to use (or eventually use) Spanish like a native speaker.,Spanish,Actitudes lingüísticas,Es importante para mí usar (o llegar a usar) las siguientes lenguas como un hablante nativo.,español
Language attitudes,19a,I want others to think I am a native speaker of English.,English,Actitudes lingüísticas,Quiero que los demás piensen que soy un hablante nativo de las siguientes lenguas.,inglés
Language attitudes,19b, I want others to think I am a native speaker of Spanish.,Spanish,Actitudes lingüísticas,Quiero que los demás piensen que soy un hablante nativo de las siguientes lenguas.,español
