stimuliPractice0,stimuliPractice1,stimuliList,stimuliA0,stimuliA1,stimuliA2,stimuliA3,stimuliA4,stimuliA5,stimuliA6,stimuliA7,stimuliA8,stimuliA9,stimuliA10,stimuliA11,stimuliA12,stimuliA13,stimuliA14,stimuliA15,stimuliA16,stimuliA17,stimuliA18,stimuliA19,stimuliA20,stimuliA21,stimuliA22,stimuliA23,syllabification,corrSyl,corrAns,keyCVC,keyCV,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,expTrialLoop.thisRepN,expTrialLoop.thisTrialN,expTrialLoop.thisN,expTrialLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,startPrac.keys,startPrac.rt,startExpTrials.keys,startExpTrials.rt,exp_key_resp.keys,exp_key_resp.rt,sylPracStart.keys,sylPracStart.rt,sylExpStart.keys,sylExpStart.rt,sylExp_key_resp.keys,sylExp_key_resp.corr,sylExp_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,targetSyl,ga,pes,per,mor,mu,jo,cu,cen,vol,ba,li,bo,ca,pal,mon,ca,gar,cor,co,ros,pas,lim,ce,co,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem9,rejilla,dominio,jinete,cilindro,pizarra,bigote,teniente,ribera,sepulcro,sonido,recodo,jarabe,fineza,giralda,tesina,velero,tiniebla,vinilo,navaja,pitillo,ciruelo,torija,gotera,becerro,,,,,,,,,,,,,,3,0,3,0,0,0,0,9,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem8,poniente,duquesa,juguete,vejiga,tibieza,pupitre,tesoro,butaca,recado,sotana,reguero,tetilla,rimero,cigarra,rapiña,ribazo,sopapo,cigoto,naranjo,veleta,gomina,sureste,pomada,lucero,,,,,,,,,,,,,,3,0,3,0,0,1,1,8,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem7,riqueza,jacinto,suceso,taquilla,dolencia,vigilia,fijeza,lavabo,tarima,picota,recurso,recato,tobera,regata,resabio,rebeca,cimiento,bufido,redada,legajo,rudeza,barcaza,fajardo,salero,,,,,,,,,,,,,,3,0,3,0,0,2,2,7,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem6,reliquia,laguna,subsuelo,vistazo,tapete,piscina,tarjeta,viruela,rasguño,tersura,regazo,rastrillo,remanso,cornada,tufillo,cizalla,tendencia,pesquisa,viraje,pileta,relente,pozuelo,pescuezo,bastilla,,,,,,,,,,,,,,3,0,3,0,0,3,3,6,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem4,portento,doncella,solvencia,piltrafa,lactancia,cintura,tortazo,durmiente,gentuza,torpeza,zarpazo,fundillo,lenteja,costumbre,salchicha,cernuda,pinchazo,vendimia,persiana,campiña,mordaza,garbanzo,confianza,percance,,,,,,,,,,,,,,3,0,3,0,0,4,4,4,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem10,soneto,dureza,ginebra,zapato,vivencia,tumulto,tobillo,vivienda,reducto,renombre,vereda,farola,luneta,regato,rivera,velorio,solera,vigencia,barbecho,vivero,fogata,sobaco,tinaja,bufete,,,,,,,,,,,,,,3,0,3,0,0,5,5,10,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem11,tejado,cigarro,gusano,secuela,silicio,bufanda,pureza,talante,recinto,semilla,tocino,remiendo,remesa,regate,tisana,gozada,pujanza,visera,nevera,tijera,donaire,soborno,pineda,visillo,,,,,,,,,,,,,,3,0,3,0,0,6,6,11,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem1,ternera,langosta,sandía,pulsera,testigo,zancada,pintura,tardanza,juntura,rendija,tartana,narciso,punzada,gorguera,submundo,pescante,lumbrera,bengala,victoria,pantalla,certeza,portillo,congreso,ventana,,,,,,,,,,,,,,3,0,3,0,0,7,7,1,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem5,sendero,fantoche,jactancia,pulgada,vestigio,tintero,vertiente,burbuja,serpiente,sortija,polvera,farsante,vendaje,fortuna,lectura,felpudo,mensaje,cencerro,barbilla,putada,mordisco,corneta,bolzano,bandera,,,,,,,,,,,,,,3,0,3,0,0,8,8,5,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem3,postigo,gordura,silbido,fastidio,poltrona,ventaja,verdura,ruptura,ternura,sordera,vergüenza,tumbona,puntilla,conducta,vislumbre,filete,lenguado,ventisca,perfidia,cambiazo,cordura,respuesta,concepto,palmada,,,,,,,,,,,,,,3,0,3,0,0,9,9,3,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem2,zumbido,jilguero,soltura,venganza,vestuario,tinglado,sarmiento,tornillo,largueza,tortuga,portazo,gustillo,mortaja,gorjeo,laxante,pestillo,polvillo,lanzazo,perchero,lenguaje,cordero,sonrisa,campaña,balbina,,,,,,,,,,,,,,3,0,3,0,0,10,10,2,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,carrierItem,ganchillo,pestaña,pereza,morera,murmullo,joroba,culebra,centavo,volante,balada,linterna,bolero,castillo,paloma,montaña,campana,garaje,corona,costilla,rosquilla,pastilla,limpieza,cereza,coraje,,,,,,,,,,,,,,3,0,3,0,0,11,11,0,,,,,,,,,,,,,y,0.4191533659977722,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,targetSyl,ga,pes,per,mor,mu,jo,cu,cen,vol,ba,li,bo,ca,pal,mon,ca,gar,cor,co,ros,pas,lim,ce,co,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,carrierItem,ganchillo,pestaña,pereza,morera,murmullo,joroba,culebra,centavo,volante,balada,linterna,bolero,castillo,paloma,montaña,campana,garaje,corona,costilla,rosquilla,pastilla,limpieza,cereza,coraje,,,,,,,,,,,,,,4,0,4,0,0,0,0,0,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem5,sendero,fantoche,jactancia,pulgada,vestigio,tintero,vertiente,burbuja,serpiente,sortija,polvera,farsante,vendaje,fortuna,lectura,felpudo,mensaje,cencerro,barbilla,putada,mordisco,corneta,bolzano,bandera,,,,,,,,,,,,,,4,0,4,0,0,1,1,5,,,,,,,,,,,,,y,0.21973885300030815,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem9,rejilla,dominio,jinete,cilindro,pizarra,bigote,teniente,ribera,sepulcro,sonido,recodo,jarabe,fineza,giralda,tesina,velero,tiniebla,vinilo,navaja,pitillo,ciruelo,torija,gotera,becerro,,,,,,,,,,,,,,4,0,4,0,0,2,2,9,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem2,zumbido,jilguero,soltura,venganza,vestuario,tinglado,sarmiento,tornillo,largueza,tortuga,portazo,gustillo,mortaja,gorjeo,laxante,pestillo,polvillo,lanzazo,perchero,lenguaje,cordero,sonrisa,campaña,balbina,,,,,,,,,,,,,,4,0,4,0,0,3,3,2,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem11,tejado,cigarro,gusano,secuela,silicio,bufanda,pureza,talante,recinto,semilla,tocino,remiendo,remesa,regate,tisana,gozada,pujanza,visera,nevera,tijera,donaire,soborno,pineda,visillo,,,,,,,,,,,,,,4,0,4,0,0,4,4,11,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem1,ternera,langosta,sandía,pulsera,testigo,zancada,pintura,tardanza,juntura,rendija,tartana,narciso,punzada,gorguera,submundo,pescante,lumbrera,bengala,victoria,pantalla,certeza,portillo,congreso,ventana,,,,,,,,,,,,,,4,0,4,0,0,5,5,1,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem6,reliquia,laguna,subsuelo,vistazo,tapete,piscina,tarjeta,viruela,rasguño,tersura,regazo,rastrillo,remanso,cornada,tufillo,cizalla,tendencia,pesquisa,viraje,pileta,relente,pozuelo,pescuezo,bastilla,,,,,,,,,,,,,,4,0,4,0,0,6,6,6,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem4,portento,doncella,solvencia,piltrafa,lactancia,cintura,tortazo,durmiente,gentuza,torpeza,zarpazo,fundillo,lenteja,costumbre,salchicha,cernuda,pinchazo,vendimia,persiana,campiña,mordaza,garbanzo,confianza,percance,,,,,,,,,,,,,,4,0,4,0,0,7,7,4,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem10,soneto,dureza,ginebra,zapato,vivencia,tumulto,tobillo,vivienda,reducto,renombre,vereda,farola,luneta,regato,rivera,velorio,solera,vigencia,barbecho,vivero,fogata,sobaco,tinaja,bufete,,,,,,,,,,,,,,4,0,4,0,0,8,8,10,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem7,riqueza,jacinto,suceso,taquilla,dolencia,vigilia,fijeza,lavabo,tarima,picota,recurso,recato,tobera,regata,resabio,rebeca,cimiento,bufido,redada,legajo,rudeza,barcaza,fajardo,salero,,,,,,,,,,,,,,4,0,4,0,0,9,9,7,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem8,poniente,duquesa,juguete,vejiga,tibieza,pupitre,tesoro,butaca,recado,sotana,reguero,tetilla,rimero,cigarra,rapiña,ribazo,sopapo,cigoto,naranjo,veleta,gomina,sureste,pomada,lucero,,,,,,,,,,,,,,4,0,4,0,0,10,10,8,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem3,postigo,gordura,silbido,fastidio,poltrona,ventaja,verdura,ruptura,ternura,sordera,vergüenza,tumbona,puntilla,conducta,vislumbre,filete,lenguado,ventisca,perfidia,cambiazo,cordura,respuesta,concepto,palmada,,,,,,,,,,,,,,4,0,4,0,0,11,11,3,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,targetSyl,ga,pes,per,mor,mu,jo,cu,cen,vol,ba,li,bo,ca,pal,mon,ca,gar,cor,co,ros,pas,lim,ce,co,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem2,zumbido,jilguero,soltura,venganza,vestuario,tinglado,sarmiento,tornillo,largueza,tortuga,portazo,gustillo,mortaja,gorjeo,laxante,pestillo,polvillo,lanzazo,perchero,lenguaje,cordero,sonrisa,campaña,balbina,,,,,,,,,,,,,,5,0,5,0,0,0,0,2,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem10,soneto,dureza,ginebra,zapato,vivencia,tumulto,tobillo,vivienda,reducto,renombre,vereda,farola,luneta,regato,rivera,velorio,solera,vigencia,barbecho,vivero,fogata,sobaco,tinaja,bufete,,,,,,,,,,,,,,5,0,5,0,0,1,1,10,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem5,sendero,fantoche,jactancia,pulgada,vestigio,tintero,vertiente,burbuja,serpiente,sortija,polvera,farsante,vendaje,fortuna,lectura,felpudo,mensaje,cencerro,barbilla,putada,mordisco,corneta,bolzano,bandera,,,,,,,,,,,,,,5,0,5,0,0,2,2,5,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem8,poniente,duquesa,juguete,vejiga,tibieza,pupitre,tesoro,butaca,recado,sotana,reguero,tetilla,rimero,cigarra,rapiña,ribazo,sopapo,cigoto,naranjo,veleta,gomina,sureste,pomada,lucero,,,,,,,,,,,,,,5,0,5,0,0,3,3,8,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem3,postigo,gordura,silbido,fastidio,poltrona,ventaja,verdura,ruptura,ternura,sordera,vergüenza,tumbona,puntilla,conducta,vislumbre,filete,lenguado,ventisca,perfidia,cambiazo,cordura,respuesta,concepto,palmada,,,,,,,,,,,,,,5,0,5,0,0,4,4,3,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem7,riqueza,jacinto,suceso,taquilla,dolencia,vigilia,fijeza,lavabo,tarima,picota,recurso,recato,tobera,regata,resabio,rebeca,cimiento,bufido,redada,legajo,rudeza,barcaza,fajardo,salero,,,,,,,,,,,,,,5,0,5,0,0,5,5,7,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem11,tejado,cigarro,gusano,secuela,silicio,bufanda,pureza,talante,recinto,semilla,tocino,remiendo,remesa,regate,tisana,gozada,pujanza,visera,nevera,tijera,donaire,soborno,pineda,visillo,,,,,,,,,,,,,,5,0,5,0,0,6,6,11,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem6,reliquia,laguna,subsuelo,vistazo,tapete,piscina,tarjeta,viruela,rasguño,tersura,regazo,rastrillo,remanso,cornada,tufillo,cizalla,tendencia,pesquisa,viraje,pileta,relente,pozuelo,pescuezo,bastilla,,,,,,,,,,,,,,5,0,5,0,0,7,7,6,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem4,portento,doncella,solvencia,piltrafa,lactancia,cintura,tortazo,durmiente,gentuza,torpeza,zarpazo,fundillo,lenteja,costumbre,salchicha,cernuda,pinchazo,vendimia,persiana,campiña,mordaza,garbanzo,confianza,percance,,,,,,,,,,,,,,5,0,5,0,0,8,8,4,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem9,rejilla,dominio,jinete,cilindro,pizarra,bigote,teniente,ribera,sepulcro,sonido,recodo,jarabe,fineza,giralda,tesina,velero,tiniebla,vinilo,navaja,pitillo,ciruelo,torija,gotera,becerro,,,,,,,,,,,,,,5,0,5,0,0,9,9,9,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem1,ternera,langosta,sandía,pulsera,testigo,zancada,pintura,tardanza,juntura,rendija,tartana,narciso,punzada,gorguera,submundo,pescante,lumbrera,bengala,victoria,pantalla,certeza,portillo,congreso,ventana,,,,,,,,,,,,,,5,0,5,0,0,10,10,1,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,carrierItem,ganchillo,pestaña,pereza,morera,murmullo,joroba,culebra,centavo,volante,balada,linterna,bolero,castillo,paloma,montaña,campana,garaje,corona,costilla,rosquilla,pastilla,limpieza,cereza,coraje,,,,,,,,,,,,,,5,0,5,0,0,11,11,0,,,,,,,,,,,,,y,0.43680956800017157,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,targetSyl,ga,pes,per,mor,mu,jo,cu,cen,vol,ba,li,bo,ca,pal,mon,ca,gar,cor,co,ros,pas,lim,ce,co,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem6,reliquia,laguna,subsuelo,vistazo,tapete,piscina,tarjeta,viruela,rasguño,tersura,regazo,rastrillo,remanso,cornada,tufillo,cizalla,tendencia,pesquisa,viraje,pileta,relente,pozuelo,pescuezo,bastilla,,,,,,,,,,,,,,6,0,6,0,0,0,0,6,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem4,portento,doncella,solvencia,piltrafa,lactancia,cintura,tortazo,durmiente,gentuza,torpeza,zarpazo,fundillo,lenteja,costumbre,salchicha,cernuda,pinchazo,vendimia,persiana,campiña,mordaza,garbanzo,confianza,percance,,,,,,,,,,,,,,6,0,6,0,0,1,1,4,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem5,sendero,fantoche,jactancia,pulgada,vestigio,tintero,vertiente,burbuja,serpiente,sortija,polvera,farsante,vendaje,fortuna,lectura,felpudo,mensaje,cencerro,barbilla,putada,mordisco,corneta,bolzano,bandera,,,,,,,,,,,,,,6,0,6,0,0,2,2,5,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem11,tejado,cigarro,gusano,secuela,silicio,bufanda,pureza,talante,recinto,semilla,tocino,remiendo,remesa,regate,tisana,gozada,pujanza,visera,nevera,tijera,donaire,soborno,pineda,visillo,,,,,,,,,,,,,,6,0,6,0,0,3,3,11,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem10,soneto,dureza,ginebra,zapato,vivencia,tumulto,tobillo,vivienda,reducto,renombre,vereda,farola,luneta,regato,rivera,velorio,solera,vigencia,barbecho,vivero,fogata,sobaco,tinaja,bufete,,,,,,,,,,,,,,6,0,6,0,0,4,4,10,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem2,zumbido,jilguero,soltura,venganza,vestuario,tinglado,sarmiento,tornillo,largueza,tortuga,portazo,gustillo,mortaja,gorjeo,laxante,pestillo,polvillo,lanzazo,perchero,lenguaje,cordero,sonrisa,campaña,balbina,,,,,,,,,,,,,,6,0,6,0,0,5,5,2,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem9,rejilla,dominio,jinete,cilindro,pizarra,bigote,teniente,ribera,sepulcro,sonido,recodo,jarabe,fineza,giralda,tesina,velero,tiniebla,vinilo,navaja,pitillo,ciruelo,torija,gotera,becerro,,,,,,,,,,,,,,6,0,6,0,0,6,6,9,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,carrierItem,ganchillo,pestaña,pereza,morera,murmullo,joroba,culebra,centavo,volante,balada,linterna,bolero,castillo,paloma,montaña,campana,garaje,corona,costilla,rosquilla,pastilla,limpieza,cereza,coraje,,,,,,,,,,,,,,6,0,6,0,0,7,7,0,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem8,poniente,duquesa,juguete,vejiga,tibieza,pupitre,tesoro,butaca,recado,sotana,reguero,tetilla,rimero,cigarra,rapiña,ribazo,sopapo,cigoto,naranjo,veleta,gomina,sureste,pomada,lucero,,,,,,,,,,,,,,6,0,6,0,0,8,8,8,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem1,ternera,langosta,sandía,pulsera,testigo,zancada,pintura,tardanza,juntura,rendija,tartana,narciso,punzada,gorguera,submundo,pescante,lumbrera,bengala,victoria,pantalla,certeza,portillo,congreso,ventana,,,,,,,,,,,,,,6,0,6,0,0,9,9,1,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem7,riqueza,jacinto,suceso,taquilla,dolencia,vigilia,fijeza,lavabo,tarima,picota,recurso,recato,tobera,regata,resabio,rebeca,cimiento,bufido,redada,legajo,rudeza,barcaza,fajardo,salero,,,,,,,,,,,,,,6,0,6,0,0,10,10,7,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem3,postigo,gordura,silbido,fastidio,poltrona,ventaja,verdura,ruptura,ternura,sordera,vergüenza,tumbona,puntilla,conducta,vislumbre,filete,lenguado,ventisca,perfidia,cambiazo,cordura,respuesta,concepto,palmada,,,,,,,,,,,,,,6,0,6,0,0,11,11,3,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,targetSyl,ga,pes,per,mor,mu,jo,cu,cen,vol,ba,li,bo,ca,pal,mon,ca,gar,cor,co,ros,pas,lim,ce,co,,,,,,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem9,rejilla,dominio,jinete,cilindro,pizarra,bigote,teniente,ribera,sepulcro,sonido,recodo,jarabe,fineza,giralda,tesina,velero,tiniebla,vinilo,navaja,pitillo,ciruelo,torija,gotera,becerro,,,,,,,,,,,,,,7,0,7,0,0,0,0,9,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem3,postigo,gordura,silbido,fastidio,poltrona,ventaja,verdura,ruptura,ternura,sordera,vergüenza,tumbona,puntilla,conducta,vislumbre,filete,lenguado,ventisca,perfidia,cambiazo,cordura,respuesta,concepto,palmada,,,,,,,,,,,,,,7,0,7,0,0,1,1,3,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem5,sendero,fantoche,jactancia,pulgada,vestigio,tintero,vertiente,burbuja,serpiente,sortija,polvera,farsante,vendaje,fortuna,lectura,felpudo,mensaje,cencerro,barbilla,putada,mordisco,corneta,bolzano,bandera,,,,,,,,,,,,,,7,0,7,0,0,2,2,5,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem8,poniente,duquesa,juguete,vejiga,tibieza,pupitre,tesoro,butaca,recado,sotana,reguero,tetilla,rimero,cigarra,rapiña,ribazo,sopapo,cigoto,naranjo,veleta,gomina,sureste,pomada,lucero,,,,,,,,,,,,,,7,0,7,0,0,3,3,8,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem10,soneto,dureza,ginebra,zapato,vivencia,tumulto,tobillo,vivienda,reducto,renombre,vereda,farola,luneta,regato,rivera,velorio,solera,vigencia,barbecho,vivero,fogata,sobaco,tinaja,bufete,,,,,,,,,,,,,,7,0,7,0,0,4,4,10,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,carrierItem,ganchillo,pestaña,pereza,morera,murmullo,joroba,culebra,centavo,volante,balada,linterna,bolero,castillo,paloma,montaña,campana,garaje,corona,costilla,rosquilla,pastilla,limpieza,cereza,coraje,,,,,,,,,,,,,,7,0,7,0,0,5,5,0,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem7,riqueza,jacinto,suceso,taquilla,dolencia,vigilia,fijeza,lavabo,tarima,picota,recurso,recato,tobera,regata,resabio,rebeca,cimiento,bufido,redada,legajo,rudeza,barcaza,fajardo,salero,,,,,,,,,,,,,,7,0,7,0,0,6,6,7,,,,,,,,,,,,,y,0.052593174998037284,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem11,tejado,cigarro,gusano,secuela,silicio,bufanda,pureza,talante,recinto,semilla,tocino,remiendo,remesa,regate,tisana,gozada,pujanza,visera,nevera,tijera,donaire,soborno,pineda,visillo,,,,,,,,,,,,,,7,0,7,0,0,7,7,11,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem4,portento,doncella,solvencia,piltrafa,lactancia,cintura,tortazo,durmiente,gentuza,torpeza,zarpazo,fundillo,lenteja,costumbre,salchicha,cernuda,pinchazo,vendimia,persiana,campiña,mordaza,garbanzo,confianza,percance,,,,,,,,,,,,,,7,0,7,0,0,8,8,4,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem2,zumbido,jilguero,soltura,venganza,vestuario,tinglado,sarmiento,tornillo,largueza,tortuga,portazo,gustillo,mortaja,gorjeo,laxante,pestillo,polvillo,lanzazo,perchero,lenguaje,cordero,sonrisa,campaña,balbina,,,,,,,,,,,,,,7,0,7,0,0,9,9,2,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem1,ternera,langosta,sandía,pulsera,testigo,zancada,pintura,tardanza,juntura,rendija,tartana,narciso,punzada,gorguera,submundo,pescante,lumbrera,bengala,victoria,pantalla,certeza,portillo,congreso,ventana,,,,,,,,,,,,,,7,0,7,0,0,10,10,1,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,fillerItem6,reliquia,laguna,subsuelo,vistazo,tapete,piscina,tarjeta,viruela,rasguño,tersura,regazo,rastrillo,remanso,cornada,tufillo,cizalla,tendencia,pesquisa,viraje,pileta,relente,pozuelo,pescuezo,bastilla,,,,,,,,,,,,,,7,0,7,0,0,11,11,6,,,,,,,,,,,,,None,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
,,targetSyl,ga,pes,per,mor,mu,jo,cu,cen,vol,ba,li,bo,ca,pal,mon,ca,gar,cor,co,ros,pas,lim,ce,co,,,,,,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
